@relation keystroketouch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute holdtime1 numeric
@attribute holdtime2 numeric
@attribute holdtime3 numeric
@attribute holdtime4 numeric
@attribute holdtime5 numeric
@attribute holdtime6 numeric
@attribute holdtime7 numeric
@attribute holdtime8 numeric
@attribute holdtime9 numeric
@attribute holdtime10 numeric
@attribute holdtime11 numeric
@attribute holdtime12 numeric
@attribute holdtime13 numeric
@attribute holdtime14 numeric
@attribute downdown1 numeric
@attribute downdown2 numeric
@attribute downdown3 numeric
@attribute downdown4 numeric
@attribute downdown5 numeric
@attribute downdown6 numeric
@attribute downdown7 numeric
@attribute downdown8 numeric
@attribute downdown9 numeric
@attribute downdown10 numeric
@attribute downdown11 numeric
@attribute downdown12 numeric
@attribute downdown13 numeric
@attribute updown1 numeric
@attribute updown2 numeric
@attribute updown3 numeric
@attribute updown4 numeric
@attribute updown5 numeric
@attribute updown6 numeric
@attribute updown7 numeric
@attribute updown8 numeric
@attribute updown9 numeric
@attribute updown10 numeric
@attribute updown11 numeric
@attribute updown12 numeric
@attribute updown13 numeric
@attribute pressure1 numeric
@attribute pressure2 numeric
@attribute pressure3 numeric
@attribute pressure4 numeric
@attribute pressure5 numeric
@attribute pressure6 numeric
@attribute pressure7 numeric
@attribute pressure8 numeric
@attribute pressure9 numeric
@attribute pressure10 numeric
@attribute pressure11 numeric
@attribute pressure12 numeric
@attribute pressure13 numeric
@attribute pressure14 numeric
@attribute fingerarea1 numeric
@attribute fingerarea2 numeric
@attribute fingerarea3 numeric
@attribute fingerarea4 numeric
@attribute fingerarea5 numeric
@attribute fingerarea6 numeric
@attribute fingerarea7 numeric
@attribute fingerarea8 numeric
@attribute fingerarea9 numeric
@attribute fingerarea10 numeric
@attribute fingerarea11 numeric
@attribute fingerarea12 numeric
@attribute fingerarea13 numeric
@attribute fingerarea14 numeric
@attribute meanholdtime numeric
@attribute meanpressure numeric
@attribute meanfingerarea numeric
@attribute user_id {1,2,3,4,5,6,7,8,9,10,20,21,24,25,26,27,28,29,35,36,37,38,40,41,50,51,53,54,55,65,66,68,69,70,71,73,80,81,82,83,84,85}

@data
0.405172,0.328889,0.451613,0.355742,0.333333,0.421296,0.375,0.514019,0.272,0.484018,0.14,0.486239,0.638743,0.469484,0.054458,0.135413,0.012314,0.031322,0.026496,0.015734,0.013742,0.074464,0.005237,0.049632,0.001225,0.069358,0.007398,0.05465,0.162542,0.008057,0.028565,0.031176,0.012783,0.013376,0.074139,0.004954,0.047972,0.000945,0.05965,0.004552,0.274194,0.427184,0.204819,0.374101,0.463415,0.608247,0.390977,0.465116,0.436893,0.354545,0.369048,0.328125,0.231405,0.375,0.299065,0.357143,0.283154,0.333333,0.308756,0.296296,0.37788,0.259259,0.296296,0.333333,0.222222,0.283154,0.21147,0.222222,0.50495,0.505685,0.411188,1
0.439655,0.324444,0.326613,0.378151,0.304029,0.430556,0.404412,0.46729,0.324,0.534247,0.152857,0.417431,0.497382,0.549296,0.007644,0.160137,0.010765,0.039517,0.025206,0.01419,0.013296,0.065683,0.012045,0.044758,0.001273,0.089175,0.04062,0.007664,0.186923,0.008797,0.036294,0.030681,0.011118,0.012534,0.067079,0.011146,0.042152,0.000921,0.083066,0.039779,0.239631,0.436893,0.240964,0.42446,0.52439,0.505155,0.353383,0.406977,0.407767,0.327273,0.428571,0.296875,0.239669,0.306818,0.280374,0.321429,0.283154,0.333333,0.343318,0.296296,0.37788,0.259259,0.333333,0.296296,0.222222,0.354839,0.21147,0.185185,0.49703,0.484957,0.414864,1
0.37069,0.377778,0.483871,0.344538,0.490842,0.458333,0.375,0.551402,0.384,0.515982,0.194286,0.389908,0.633508,0.521127,0.00797,0.277672,0.032001,0.108055,0.041084,0.04441,0.014883,0.099403,0.018092,0.016928,0.001385,0.054744,0.003908,0.00839,0.296638,0.027203,0.105355,0.041469,0.041025,0.014516,0.097793,0.01648,0.014815,0.000801,0.050283,0.001121,0.205069,0.485437,0.307229,0.280576,0.536585,0.494845,0.300752,0.406977,0.475728,0.336364,0.464286,0.320312,0.22314,0.397727,0.261682,0.321429,0.318996,0.259259,0.343318,0.296296,0.274194,0.259259,0.296296,0.296296,0.407407,0.247312,0.283154,0.185185,0.568317,0.487624,0.408074,1
0.400862,0.453333,0.487903,0.308123,0.344322,0.444444,0.463235,0.556075,0.356,0.461187,0.148571,0.545872,0.560209,0.516432,0.036038,0.171548,0.016369,0.041313,0.049816,0.011518,0.016173,0.06059,0.011902,0.015865,0.001297,0.186029,0.00691,0.036266,0.187292,0.011458,0.039487,0.054137,0.008264,0.014615,0.058605,0.010622,0.014815,0.000969,0.172541,0.005112,0.343318,0.407767,0.222892,0.23741,0.402439,0.525773,0.240601,0.372093,0.475728,0.354545,0.369048,0.28125,0.181818,0.261364,0.336449,0.357143,0.318996,0.259259,0.239631,0.333333,0.239631,0.185185,0.296296,0.333333,0.296296,0.283154,0.175627,0.148148,0.549505,0.43134,0.367203,1
0.405172,0.44,0.399194,0.252101,0.326007,0.416667,0.389706,0.46729,0.32,0.410959,0.181429,0.536697,0.507853,0.633803,0.079319,0.199315,0.014452,0.048948,0.021336,0.014546,0.01786,0.206709,0.01395,0.024107,0.001449,0.116671,0.070352,0.079495,0.215368,0.011162,0.048224,0.026227,0.011653,0.01729,0.208826,0.013098,0.023986,0.000937,0.104018,0.069473,0.274194,0.38835,0.186747,0.251799,0.47561,0.484536,0.278195,0.523256,0.572816,0.254545,0.440476,0.3125,0.190083,0.238636,0.261682,0.321429,0.318996,0.296296,0.308756,0.296296,0.308756,0.259259,0.296296,0.222222,0.222222,0.247312,0.21147,0.111111,0.510891,0.441352,0.35574,1
0.439655,0.324444,0.379032,0.310924,0.336996,0.467593,0.367647,0.462617,0.316,0.388128,0.154286,0.481651,0.52356,0.535211,0.013408,0.182199,0.011871,0.041538,0.0519,0.073799,0.030709,0.070952,0.019425,0.025082,0.001569,0.11246,0.006491,0.013424,0.208349,0.008944,0.039655,0.056413,0.070337,0.030419,0.072551,0.018623,0.025397,0.001209,0.102785,0.005182,0.308756,0.524272,0.198795,0.309352,0.414634,0.371134,0.308271,0.488372,0.572816,0.290909,0.404762,0.25,0.181818,0.284091,0.280374,0.357143,0.247312,0.333333,0.239631,0.222222,0.274194,0.259259,0.37037,0.296296,0.296296,0.283154,0.175627,0.148148,0.486139,0.455061,0.367764,1
0.362069,0.333333,0.354839,0.308123,0.435897,0.486111,0.544118,0.509346,0.392,0.616438,0.167143,0.541284,0.560209,0.553991,0.016992,0.169646,0.013051,0.047544,0.024313,0.012171,0.018455,0.116087,0.013807,0.019498,0.001881,0.149121,0.008445,0.017457,0.195419,0.010571,0.045704,0.026227,0.008383,0.015804,0.116152,0.012098,0.015432,0.001449,0.136061,0.006653,0.239631,0.475728,0.222892,0.266187,0.45122,0.474227,0.233083,0.406977,0.427184,0.354545,0.440476,0.3125,0.198347,0.318182,0.28972,0.392857,0.318996,0.222222,0.308756,0.296296,0.308756,0.333333,0.333333,0.259259,0.222222,0.283154,0.21147,0.185185,0.569307,0.43583,0.39471,1
0.405172,0.417778,0.516129,0.344538,0.326007,0.375,0.422794,0.542056,0.344,0.360731,0.131429,0.431193,0.544503,0.42723,0.040224,0.245721,0.014305,0.25355,0.023023,0.014843,0.014387,0.067088,0.004713,0.019587,0.001441,0.069358,0.002443,0.040424,0.262283,0.00887,0.250532,0.02791,0.012486,0.013376,0.065666,0.003572,0.020459,0.001209,0.062608,0.00084,0.308756,0.514563,0.240964,0.280576,0.402439,0.453608,0.285714,0.453488,0.572816,0.427273,0.440476,0.304687,0.272727,0.397727,0.35514,0.357143,0.318996,0.296296,0.343318,0.222222,0.37788,0.296296,0.37037,0.259259,0.259259,0.318996,0.247312,0.185185,0.497525,0.512376,0.426327,1
0.327586,0.342222,0.427419,0.285714,0.410256,0.342593,0.448529,0.537383,0.312,0.378995,0.181429,0.458716,0.544503,0.577465,0.023282,0.152529,0.017475,0.015212,0.039694,0.027311,0.014982,0.083246,0.018758,0.014447,0.001865,0.077037,0.007259,0.023944,0.178057,0.013675,0.01389,0.04226,0.025388,0.013624,0.082083,0.018004,0.014991,0.001353,0.06877,0.005673,0.205069,0.417476,0.271084,0.244604,0.365854,0.391753,0.195489,0.372093,0.368932,0.309091,0.27381,0.195312,0.157025,0.204545,0.242991,0.214286,0.283154,0.259259,0.274194,0.296296,0.274194,0.185185,0.222222,0.222222,0.222222,0.283154,0.21147,0.111111,0.50396,0.335564,0.30185,1
0.431034,0.502222,0.362903,0.344538,0.443223,0.328704,0.492647,0.429907,0.356,0.438356,0.15,0.298165,0.518325,0.42723,0.008646,0.222898,0.012756,0.015044,0.032748,0.017158,0.016223,0.096066,0.012426,0.015687,0.001809,0.137726,0.007887,0.008716,0.233099,0.010127,0.012546,0.034442,0.015399,0.014268,0.099029,0.011146,0.015079,0.001473,0.137787,0.006653,0.274194,0.339806,0.192771,0.280576,0.378049,0.391753,0.218045,0.395349,0.475728,0.290909,0.297619,0.226563,0.173554,0.318182,0.261682,0.214286,0.247312,0.259259,0.239631,0.259259,0.274194,0.222222,0.296296,0.259259,0.148148,0.21147,0.21147,0.259259,0.49901,0.37117,0.30864,1
0.448276,0.528889,0.435484,0.308123,0.373626,0.467593,0.415441,0.546729,0.336,0.447489,0.16,0.46789,0.481675,0.530516,0.022405,0.176873,0.012904,0.041313,0.018756,0.01413,0.011559,0.096593,0.035469,0.025614,0.001345,0.096111,0.004467,0.022366,0.186184,0.008944,0.039487,0.022367,0.010583,0.010651,0.095146,0.034437,0.02478,0.000953,0.087257,0.003712,0.308756,0.427184,0.204819,0.302158,0.45122,0.412371,0.285714,0.430233,0.427184,0.309091,0.357143,0.273437,0.206612,0.340909,0.336449,0.285714,0.318996,0.259259,0.308756,0.296296,0.308756,0.185185,0.296296,0.259259,0.259259,0.354839,0.247312,0.222222,0.541584,0.435176,0.388137,1
0.37069,0.502222,0.520161,0.305322,0.3663,0.342593,0.433824,0.514019,0.28,0.374429,0.144286,0.582569,0.528796,0.596244,0.026916,0.217573,0.022711,0.053943,0.1688,0.032476,0.01905,0.069898,0.005904,0.029513,0.000736,0.081001,0.005095,0.027325,0.227928,0.017224,0.052145,0.172209,0.030561,0.017885,0.06955,0.005525,0.030071,0.000432,0.066059,0.003712,0.205069,0.572816,0.198795,0.28777,0.390244,0.608247,0.323308,0.383721,0.572816,0.381818,0.428571,0.3125,0.247934,0.352273,0.224299,0.392857,0.318996,0.259259,0.274194,0.296296,0.274194,0.222222,0.333333,0.333333,0.259259,0.318996,0.283154,0.185185,0.527723,0.489963,0.399725,1
0.409483,0.333333,0.370968,0.308123,0.336996,0.337963,0.334559,0.514019,0.32,0.575342,0.128571,0.417431,0.554974,0.380282,0.007894,0.236972,0.019171,0.022734,0.025801,0.012706,0.01781,0.06902,0.026424,0.01941,0.001265,0.071092,0.00321,0.00809,0.260805,0.01641,0.020948,0.030384,0.010821,0.017984,0.068667,0.025578,0.016138,0.001049,0.065073,0.001471,0.308756,0.436893,0.216867,0.223022,0.560976,0.381443,0.293233,0.395349,0.446602,0.436364,0.309524,0.273437,0.231405,0.295455,0.252336,0.392857,0.247312,0.222222,0.343318,0.259259,0.343318,0.222222,0.296296,0.259259,0.185185,0.247312,0.283154,0.111111,0.460891,0.443364,0.354962,1
0.435345,0.471111,0.330645,0.341737,0.399267,0.467593,0.408088,0.514019,0.416,0.538813,0.188571,0.5,0.507853,0.422535,0.017317,0.148345,0.019392,0.016447,0.027091,0.018168,0.018306,0.081489,0.018139,0.018258,0.001433,0.07456,0.003978,0.017357,0.16328,0.017371,0.014002,0.029988,0.014626,0.017488,0.0812,0.016147,0.015697,0.000881,0.064087,0.002871,0.239631,0.524272,0.192771,0.28777,0.426829,0.43299,0.308271,0.44186,0.495146,0.345455,0.309524,0.242187,0.280992,0.318182,0.299065,0.392857,0.247312,0.259259,0.274194,0.333333,0.343318,0.185185,0.333333,0.296296,0.222222,0.247312,0.247312,0.222222,0.55,0.442849,0.385022,1
0.512931,0.44,0.362903,0.294118,0.333333,0.541667,0.360294,0.471963,0.412,0.479452,0.161429,0.509174,0.497382,0.43662,0.00817,0.231267,0.023669,0.106371,0.047931,0.034614,0.017661,0.030383,0.016283,0.0304,0.001769,0.072083,0.004467,0.007764,0.246398,0.021067,0.104682,0.052553,0.030144,0.017488,0.031421,0.014337,0.028924,0.001369,0.061129,0.003502,0.343318,0.572816,0.240964,0.280576,0.47561,0.381443,0.24812,0.360465,0.524272,0.263636,0.297619,0.226563,0.214876,0.329545,0.308411,0.464286,0.283154,0.296296,0.343318,0.259259,0.274194,0.222222,0.37037,0.296296,0.148148,0.247312,0.283154,0.185185,0.524257,0.443037,0.396267,1
0.482759,0.466667,0.415323,0.254902,0.355311,0.439815,0.404412,0.420561,0.336,0.410959,0.131429,0.504587,0.591623,0.596244,0.01005,0.139597,0.019687,0.017794,0.04029,0.030398,0.012651,0.04777,0.007189,0.0265,0.001097,0.069606,0.005932,0.009818,0.155153,0.016115,0.017083,0.044339,0.027231,0.01189,0.050838,0.006144,0.026367,0.000865,0.058911,0.003712,0.239631,0.572816,0.253012,0.294964,0.402439,0.42268,0.24812,0.337209,0.572816,0.327273,0.404762,0.265625,0.256198,0.363636,0.261682,0.428571,0.318996,0.296296,0.239631,0.333333,0.239631,0.185185,0.333333,0.259259,0.222222,0.21147,0.283154,0.259259,0.513861,0.459224,0.381907,1
0.465517,0.244444,0.370968,0.296919,0.340659,0.328704,0.419118,0.462617,0.316,0.488584,0.142857,0.417431,0.554974,0.333333,0.009473,0.273868,0.01659,0.042885,0.026099,0.013418,0.018604,0.182824,0.010522,0.026057,0.007036,0.154075,0.007817,0.009342,0.304027,0.013823,0.041279,0.030582,0.011653,0.017637,0.184996,0.009717,0.024427,0.006741,0.147646,0.006093,0.343318,0.495146,0.259036,0.309352,0.463415,0.484536,0.293233,0.372093,0.436893,0.227273,0.345238,0.320312,0.214876,0.318182,0.401869,0.392857,0.354839,0.296296,0.274194,0.259259,0.274194,0.185185,0.333333,0.148148,0.222222,0.247312,0.21147,0.185185,0.45099,0.462922,0.362188,1
0.478448,0.382222,0.330645,0.352941,0.300366,0.462963,0.496324,0.518692,0.356,0.378995,0.194286,0.513761,0.617801,0.295775,0.032104,0.155953,0.023153,0.032557,0.03374,0.01229,0.01523,0.043379,0.014378,0.016396,0.001609,0.119148,0.008096,0.031883,0.178057,0.021141,0.029853,0.039291,0.0088,0.013228,0.042718,0.013098,0.016931,0.001025,0.107715,0.005533,0.239631,0.572816,0.174699,0.280576,0.414634,0.371134,0.210526,0.383721,0.398058,0.372727,0.392857,0.25,0.247934,0.227273,0.261682,0.321429,0.21147,0.333333,0.308756,0.296296,0.274194,0.185185,0.296296,0.296296,0.296296,0.247312,0.21147,0.185185,0.521287,0.401909,0.360974,1
0.439655,0.422222,0.375,0.358543,0.340659,0.384259,0.408088,0.392523,0.38,0.497717,0.191429,0.545872,0.481675,0.338028,0.017242,0.147585,0.017475,0.023407,0.032351,0.01419,0.012651,0.046365,0.008427,0.018523,0.001457,0.079019,0.005304,0.017256,0.166605,0.014636,0.020612,0.036817,0.011713,0.01184,0.050485,0.006859,0.016755,0.000889,0.066059,0.004552,0.205069,0.533981,0.192771,0.316547,0.341463,0.608247,0.293233,0.372093,0.475728,0.3,0.702381,0.289062,0.231405,0.329545,0.252336,0.321429,0.247312,0.296296,0.274194,0.296296,0.343318,0.259259,0.333333,0.259259,0.888889,0.390681,0.247312,0.259259,0.509406,0.474757,0.496261,1
0.543103,0.462222,0.342742,0.310924,0.340659,0.472222,0.573529,0.514019,0.32,0.515982,0.127143,0.509174,0.565445,0.422535,0.007443,0.250285,0.012535,0.036598,0.027389,0.013834,0.015826,0.086758,0.00957,0.020828,0.001833,0.121377,0.009352,0.006863,0.263022,0.010275,0.034726,0.031869,0.010227,0.012782,0.086496,0.008716,0.018695,0.001625,0.11018,0.007494,0.308756,0.475728,0.355422,0.381295,0.52439,0.546392,0.293233,0.372093,0.398058,0.272727,0.27381,0.25,0.206612,0.261364,0.308411,0.357143,0.820789,0.296296,0.37788,0.37037,0.37788,0.185185,0.296296,0.296296,0.185185,0.318996,0.247312,0.222222,0.543069,0.472607,0.4957,1
0.551724,0.502222,0.443548,0.380952,0.446886,0.398148,0.397059,0.448598,0.344,0.543379,0.174286,0.458716,0.518325,0.450704,0.03887,0.164321,0.011945,0.031939,0.075221,0.019118,0.012502,0.08026,0.011046,0.015599,0.001577,0.095368,0.004955,0.03822,0.17621,0.007836,0.028677,0.076702,0.016469,0.01184,0.082436,0.009907,0.012963,0.001105,0.08701,0.003712,0.308756,0.320388,0.168675,0.42446,0.439024,0.42268,0.255639,0.313953,0.427184,0.327273,0.345238,0.265625,0.22314,0.363636,0.280374,0.357143,0.21147,0.259259,0.308756,0.333333,0.239631,0.185185,0.296296,0.296296,0.259259,0.247312,0.247312,0.296296,0.564356,0.423479,0.372998,1
0.517241,0.373333,0.41129,0.406162,0.40293,0.347222,0.470588,0.509346,0.32,0.484018,0.177143,0.46789,0.518325,0.384977,0.00797,0.227463,0.013346,0.044008,0.0389,0.013715,0.013693,0.060414,0.010855,0.016662,0.001033,0.066881,0.004257,0.007539,0.248245,0.009831,0.040215,0.041667,0.011713,0.012039,0.060194,0.010002,0.015168,0.000544,0.058171,0.003011,0.239631,0.466019,0.210843,0.280576,0.439024,0.350515,0.263158,0.395349,0.378641,0.336364,0.321429,0.320312,0.247934,0.340909,0.233645,0.392857,0.283154,0.259259,0.308756,0.222222,0.308756,0.148148,0.222222,0.296296,0.259259,0.318996,0.21147,0.259259,0.537129,0.413606,0.363871,1
0.5,0.502222,0.540323,0.352941,0.424908,0.310185,0.363971,0.504673,0.356,0.493151,0.178571,0.610092,0.565445,0.389671,0.007293,0.19399,0.013199,0.030873,0.021832,0.010034,0.012551,0.080787,0.013712,0.012408,0.001937,0.067377,0.01012,0.006963,0.205024,0.007318,0.028173,0.02405,0.008502,0.012336,0.080847,0.012432,0.010758,0.001441,0.051023,0.008264,0.239631,0.572816,0.26506,0.438849,0.487805,0.360825,0.323308,0.430233,0.417476,0.227273,0.27381,0.25,0.198347,0.238636,0.317757,0.321429,0.390681,0.296296,0.343318,0.333333,0.37788,0.222222,0.296296,0.222222,0.148148,0.247312,0.247312,0.222222,0.566337,0.439339,0.397046,1
