@relation touch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute stroke_duration numeric
@attribute start_x numeric
@attribute start_y numeric
@attribute stop_x numeric
@attribute stop_y numeric
@attribute direct_end_to_end_distance numeric
@attribute mean_resultant_length numeric
@attribute up_down_left_right numeric
@attribute direction_of_end_to_end_line numeric
@attribute largest_deviation_from_end_to_end numeric
@attribute average_direction numeric
@attribute length_of_trajectory numeric
@attribute average_velocity numeric
@attribute mid_stroke_pressure numeric
@attribute mid_stroke_area_covered numeric
@attribute touch_experience {0,1,2,3}

@data
0.082057,0.452344,0.745878,0.941116,0.582374,0.448795,0.997124,1,0.447637,0.002688,0.441653,0.299847,0.186419,0.481605,0.357143,2
0.072757,0.417969,0.743989,0.941116,0.537786,0.48996,0.589975,1,0.437172,0.023484,0.428212,0.329166,0.22687,0.496656,0.392857,2
0.05744,0.335938,0.762874,0.941116,0.526052,0.562249,0.547838,1,0.436379,0.022801,0.428401,0.377334,0.317192,0.591973,0.428571,2
0.091904,0.378125,0.793719,0.628672,0.546567,0.539157,0.990975,1,0.430902,0.004156,0.41908,0.361336,0.202011,0.551839,0.428571,2
0.103939,0.261719,0.737695,0.941116,0.479704,0.626506,0.698111,1,0.436682,0.015348,0.431037,0.420174,0.209482,0.586957,0.357143,2
0.09628,0.225,0.746507,0.941116,0.436289,0.675703,0.993429,1,0.427914,0.026455,0.418865,0.453739,0.242094,0.617057,0.392857,2
0.085339,0.978125,0.541296,0.212395,0.708997,0.615462,0.621344,0.666667,0.953914,0.037084,0.951802,0.414684,0.246938,0.56689,0.285714,2
0.09081,0.983594,0.443726,0.263424,0.583548,0.568273,0.367688,0.666667,0.960231,0.065879,0.943104,0.386411,0.218024,0.56689,0.321429,2
0.084792,0.991406,0.397774,0.142432,0.719029,0.73494,0.640214,0.666667,0.927739,0.043454,0.925025,0.496956,0.296562,0.491639,0.25,2
0.089716,0.960938,0.45065,0.148636,0.734326,0.693775,0.631055,0.666667,0.931925,0.057684,0.931769,0.469382,0.266658,0.556856,0.357143,2
0.097374,0.996875,0.391479,0.122146,0.766594,0.78012,0.952173,0.666667,0.91967,0.080665,0.904351,0.529969,0.279145,0.386288,0.25,2
0.083151,0.9375,0.371336,0.152315,0.72846,0.706827,0.645336,0.666667,0.915719,0.063123,0.918205,0.477925,0.290397,0.506689,0.321429,2
0.065098,0.921094,0.379519,0.176597,0.745474,0.682731,0.964052,0.666667,0.909898,0.055875,0.907387,0.461833,0.347502,0.536789,0.321429,2
0.108862,0.99375,0.370077,0.100808,0.855771,0.853414,0.937019,0.666667,0.902871,0.074302,0.891528,0.57967,0.275592,0.32107,0.214286,2
0.100656,0.982813,0.375113,0.182565,0.778888,0.740964,0.434359,0.666667,0.908003,0.100253,0.891854,0.507372,0.259544,0.285953,0.285714,2
0.087527,0.978125,0.359376,0.220011,0.764834,0.711847,0.362248,0.666667,0.903617,0.081863,0.891607,0.484382,0.281145,0.30602,0.25,2
0.069475,0.985156,0.348045,0.18322,0.74782,0.738956,0.957899,0.666667,0.909227,0.068948,0.909943,0.501266,0.35608,0.677258,0.464286,2
0.031182,0.911719,0.380778,0.249444,0.748407,0.625502,0.943612,0.666667,0.900238,0.060495,0.891337,0.424796,0.576468,0.361204,0.357143,2
0.049234,0.892188,0.393368,0.362024,0.627549,0.456827,0.966354,0.666667,0.915736,0.042352,0.920729,0.308315,0.296221,0.391304,0.357143,2
0.091357,0.982813,0.339862,0.235463,0.695605,0.674699,0.654717,0.666667,0.912427,0.051831,0.913906,0.455889,0.254966,0.451505,0.285714,2
0.084245,0.9625,0.314682,0.141278,0.778328,0.789157,0.963792,0.666667,0.900456,0.068091,0.879297,0.535041,0.320713,0.295987,0.357143,2
0.089716,0.996094,0.322236,0.200879,0.712032,0.726908,0.619441,0.666667,0.910698,0.053245,0.907422,0.49111,0.27877,0.58194,0.321429,2
0.070569,0.901563,0.371336,0.122514,0.815876,0.753012,0.542354,0.666667,0.89912,0.073879,0.902885,0.512987,0.359362,0.406355,0.392857,2
0.075492,0.971875,0.326013,0,0.836997,0.922691,0.980374,0.666667,0.906303,0.044786,0.910477,0.625104,0.41162,0.516722,0.321429,2
0.06291,0.871875,0.386443,0.18837,0.74606,0.63755,0.930715,0.666667,0.904671,0.063523,0.91109,0.432416,0.335479,0.501672,0.285714,2
0.084792,0.989063,0.341121,0.299713,0.718255,0.645582,0.910262,0.666667,0.901579,0.03367,0.889836,0.435575,0.260594,0.526756,0.285714,2
0.087527,0.982813,0.326013,0.015463,0.935418,1,0.36235,0.666667,0.894896,0.11822,0.891989,0.683294,0.394482,0.396321,0.357143,2
0.078228,0.985156,0.315941,0.245765,0.690912,0.678715,0.964721,0.666667,0.90803,0.055087,0.908194,0.459176,0.294661,0.476589,0.25,2
0.071663,0.99375,0.303352,0.191314,0.74254,0.76004,0.956989,0.666667,0.902702,0.071854,0.901792,0.515279,0.35616,0.476589,0.25,2
0.102298,0.155469,0.784906,0.941116,0.350633,0.785141,0.647423,1,0.410183,0.028976,0.380323,0.530471,0.267222,0.476589,0.321429,2
0.097374,0.985156,0.350563,0.220747,0.678591,0.673695,0.955893,0.666667,0.91969,0.0461,0.913023,0.456022,0.240823,0.571906,0.25,2
0.080963,0.81543,0.31029,0.16372,0.365522,0.295181,0.097709,0.666667,0.983961,0.011914,0.663205,0.1977,0.126316,0.516618,0.07381,2
0.06291,0.791992,0.308974,0.18129,0.403116,0.279116,0.086454,0.666667,0.968463,0.017972,0.978467,0.186682,0.149136,0.908549,0.184524,2
0.065098,0.228516,0.362933,0.874249,0.274755,0.328313,0.105011,1,0.469401,0.002001,0.461487,0.218568,0.168301,0.738712,0.147619,2
0.076039,0.262695,0.330031,0.912879,0.212812,0.335341,0.095445,1,0.460093,0.009979,0.446886,0.224361,0.150728,0.921614,0.147619,2
0.078228,0.801758,0.331347,0.189474,0.404773,0.277108,0.382431,0.666667,0.975566,0.022634,0.581441,0.18649,0.123184,0.555811,0.07381,2
0.061816,0.907227,0.287918,0.218957,0.356599,0.312249,0.272871,0.666667,0.980769,0.022008,0.72638,0.209128,0.168669,0.804034,0.147619,2
0.079322,0.851563,0.380041,0.219827,0.420718,0.283133,0.103368,0.666667,0.986937,0.01068,0.652617,0.189011,0.12324,0.843227,0.147619,2
0.070022,0.783203,0.341876,0.20557,0.425625,0.262048,0.088681,0.666667,0.969743,0.018838,0.639148,0.175353,0.128094,0.882421,0.184524,2
0.068381,0.87207,0.34714,0.225345,0.402933,0.291165,0.257805,0.666667,0.982649,0.034106,0.485598,0.199598,0.147896,0.451296,0.07381,2
0.071116,0.856445,0.294498,0.275013,0.351416,0.258032,0.099024,0.666667,0.981543,0.022859,0.318884,0.173242,0.124927,0.856292,0.147619,2
0.091357,0.859375,0.293182,0.245581,0.401093,0.28012,0.374034,0.666667,0.963808,0.025233,0.778087,0.18892,0.108516,0.843227,0.221429,2
0.084792,0.717773,0.289234,0.191314,0.40232,0.241968,0.064102,0.666667,0.956137,0.031327,0.63635,0.163898,0.1014,0.817099,0.184524,2
0.113786,0.863281,0.305026,0.20557,0.388827,0.299197,0.167726,0.666667,0.974267,0.019652,0.621304,0.205499,0.096167,0.830163,0.147619,2
0.09081,0.75,0.29713,0.167995,0.387608,0.26506,0.448473,0.666667,0.968675,0.022679,0.798451,0.178282,0.103241,0.895485,0.184524,2
0.032276,0.736328,0.298446,0.182576,0.407839,0.25502,0.092772,0.666667,0.959485,0.019166,0.961043,0.170318,0.233946,0.529682,0.147619,2
0.078775,0.785156,0.586619,0.556281,0.513145,0.154618,0.542384,0.666667,0.063926,0.029971,0.134151,0.106288,0.072295,0.662207,0.321429,2
0.097374,0.922656,0.505415,0.601167,0.504932,0.212851,0.58415,0.666667,0.997879,0.023608,0.628007,0.143622,0.078923,0.652174,0.357143,2
0.11488,0.909375,0.52367,0.612067,0.509676,0.192771,0.648082,0.666667,0.00687,0.074952,0.535124,0.148604,0.069915,0.541806,0.214286,2
0.098468,0.950781,0.516746,0.612204,0.479117,0.228916,0.608037,0.666667,0.022184,0.046355,0.51344,0.159063,0.086038,0.591973,0.285714,2
0.068381,0.914063,0.528077,0.615883,0.480291,0.197791,0.466955,0.666667,0.032832,0.038087,0.178519,0.136787,0.103528,0.61204,0.321429,2
0.072757,0.90625,0.510451,0.610977,0.474179,0.193775,0.546236,0.666667,0.025208,0.035741,0.279907,0.133461,0.09581,0.59699,0.285714,2
0.076039,0.966406,0.474571,0.624713,0.416928,0.23494,0.574266,0.666667,0.036974,0.031995,0.248716,0.160115,0.109317,0.551839,0.25,2
0.08698,0.947656,0.482125,0.603864,0.42227,0.237952,0.577483,0.666667,0.037652,0.042573,0.247516,0.165587,0.100066,0.59699,0.285714,2
0.091904,0.991406,0.429248,0.616699,0.400549,0.257028,0.533517,0.666667,0.017999,0.043739,0.371278,0.179971,0.103047,0.501672,0.25,2
0.070022,0.992188,0.423583,0.755378,0.398662,0.139558,0.474347,0.666667,0.02842,0.008904,0.177001,0.092295,0.070605,0.556856,0.25,2
0.070569,0.990625,0.418547,0.773349,0.385834,0.125502,0.563363,0.666667,0.041192,0.018325,0.262007,0.085531,0.065469,0.56689,0.25,2
0.062363,0.988281,0.40281,0.785858,0.377034,0.111446,0.500272,0.666667,0.037905,0.022446,0.432793,0.07685,0.066352,0.607023,0.25,2
0.056893,0.94375,0.379519,0.745388,0.348873,0.11245,0.452149,0.666667,0.046377,0.010629,0.358674,0.074461,0.069861,0.617057,0.357143,2
0.205689,0.872656,0.608462,0.29948,0.603319,0.429719,0.786583,0.666667,0.998043,0.046014,0.452192,0.292562,0.077175,0.792642,0.321429,2
0.149891,0.921875,0.638677,0.368647,0.62268,0.410643,0.740251,0.666667,0.000842,0.060345,0.30429,0.281762,0.10083,0.85786,0.392857,2
0.112691,0.926563,0.648749,0.328177,0.6174,0.448795,0.676799,0.666667,0.005943,0.070324,0.431649,0.310437,0.144709,0.812709,0.357143,2
0.053611,0.459375,0.607203,0.735086,0.570465,0.243976,0.462448,1,0.482896,0.024098,0.477391,0.163977,0.151072,0.541806,0.321429,2
0.037746,0.867188,0.493896,0.453384,0.513736,0.295181,0.401381,0.666667,0.988045,0.018729,0.585298,0.197545,0.238911,0.501672,0.392857,2
0.09628,0.892969,0.51278,0.366439,0.54289,0.390562,0.629894,0.666667,0.98615,0.034522,0.541994,0.263807,0.142663,0.727425,0.321429,2
0.118162,0.867969,0.51341,0.311253,0.546997,0.417671,0.700144,0.666667,0.985675,0.052425,0.573253,0.285393,0.127614,0.752508,0.321429,2
0.141685,0.874219,0.592725,0.238406,0.693082,0.495984,0.700474,0.666667,0.96429,0.055856,0.671592,0.337808,0.12699,0.832776,0.285714,2
0.115427,0.961719,0.518446,0.323026,0.610359,0.490964,0.675721,0.666667,0.968445,0.048855,0.806885,0.333286,0.151701,0.822742,0.285714,2
0.098468,0.842969,0.493896,0.278141,0.569291,0.431727,0.664001,0.666667,0.971027,0.053678,0.614373,0.294703,0.155634,0.837793,0.357143,2
0.082604,0.735156,0.896765,0.202351,0.889623,0.40261,0.631917,0.666667,0.990967,0.037348,0.547592,0.272422,0.168879,0.692308,0.357143,2
0.077681,0.853125,1,0.440022,0.911917,0.299197,0.564562,0.666667,0.026412,0.036533,0.394283,0.203096,0.134459,0.762542,0.357143,2
0.077681,0.796875,0.135091,0.329648,0.131622,0.344378,0.584073,0.666667,0.011065,0.027543,0.384203,0.231713,0.152566,0.62709,0.357143,2
0.097374,0.760938,0.812414,0.298708,0.808502,0.341365,0.627888,0.666667,0.99057,0.039892,0.44388,0.231795,0.124618,0.632107,0.321429,2
0.162473,0.970313,0.569434,0.405109,0.623154,0.422691,0.779869,0.666667,0.976761,0.014539,0.986026,0.283276,0.093872,0.767559,0.357143,2
0.118162,0.917188,0.665745,0.32229,0.656708,0.446787,0.742335,0.666667,0.998112,0.039979,0.376561,0.30107,0.134436,0.657191,0.285714,2
0.148796,0.932031,0.887323,0.273726,0.882582,0.5,0.758238,0.666667,0.992107,0.061239,0.394114,0.341593,0.122592,0.677258,0.321429,2
0.152626,0.9625,0.896135,0.168503,0.880236,0.614458,0.730504,0.666667,0.996306,0.116983,0.42489,0.433674,0.151336,0.862876,0.357143,2
0.160284,0.882813,0.877251,0.177487,0.910629,0.546185,0.75829,0.666667,0.981699,0.07293,0.521403,0.375885,0.125512,0.832776,0.357143,2
0.079322,0.720313,0.913131,0.228841,0.914264,0.369478,0.613012,0.666667,0.986136,0.052635,0.657926,0.253899,0.163553,0.59699,0.285714,2
0.058534,0.789063,0.693001,0.343629,0.720833,0.328313,0.483587,0.666667,0.978798,0.012654,0.978371,0.219204,0.184794,0.551839,0.357143,2
0.039934,0.757031,0.551368,0.488586,0.555387,0.175703,0.999983,0.666667,0.990897,0.005694,0.738143,0.116516,0.139753,0.491639,0.357143,2
0.042123,0.817969,0.498491,0.43855,0.551867,0.273092,0.280629,0.666667,0.967587,0.010399,0.969899,0.182178,0.20306,0.361204,0.357143,2
0.037199,0.720313,0.671599,0.28182,0.761314,0.339357,0.974972,0.666667,0.95065,0.020678,0.952755,0.227661,0.276518,0.346154,0.321429,2
0.04267,0.372656,0.617463,0.741709,0.54952,0.323293,0.475076,1,0.471821,0.014127,0.462605,0.215832,0.236046,0.376254,0.25,2
0.06674,0.294531,0.686706,0.693144,0.621682,0.342369,0.527097,1,0.476939,0.021172,0.467177,0.22994,0.172927,0.506689,0.357143,2
0.031182,0.819531,0.635089,0.374533,0.663924,0.326305,0.99424,0.666667,0.980088,0.011345,0.981538,0.217603,0.30252,0.250836,0.285714,2
0.051422,0.860938,0.611798,0.448851,0.635763,0.295181,0.998681,0.666667,0.981566,0.001937,0.840609,0.196678,0.185727,0.491639,0.357143,2
0.040481,0.814844,0.700555,0.38925,0.741367,0.312249,0.394186,0.666667,0.970888,0.010198,0.972837,0.208732,0.238368,0.411371,0.357143,2
0.051969,0.826563,0.655862,0.36276,0.671551,0.340361,0.541176,0.666667,0.986369,0.024888,0.695687,0.228481,0.212383,0.471572,0.321429,2
0.043217,0.835938,0.604244,0.38747,0.648987,0.330321,0.472625,0.666667,0.973663,0.015528,0.979988,0.220857,0.238847,0.416388,0.321429,2
0.03884,0.80625,0.642013,0.380699,0.68889,0.313253,0.384479,0.666667,0.969892,0.018026,0.771263,0.209667,0.247259,0.416388,0.357143,2
0.055799,0.833594,0.746507,0.385571,0.736673,0.325301,0.997017,0.666667,0.995167,0.008665,0.661467,0.217118,0.190646,0.396321,0.285714,2
0.053611,0.821094,0.717551,0.249227,0.80818,0.445783,0.527143,0.666667,0.960736,0.034537,0.826165,0.300105,0.269046,0.461538,0.285714,2
0.068381,0.31875,0.752173,0.835158,0.679764,0.443775,0.607033,1,0.480924,0.020742,0.466518,0.297888,0.217326,0.58194,0.357143,2
0.036105,0.778906,0.721328,0.380143,0.736107,0.288153,0.275578,0.666667,0.982065,0.01358,0.981851,0.192178,0.240862,0.220736,0.321429,2
0.043217,0.811719,0.674117,0.29948,0.757207,0.393574,0.457317,0.666667,0.960057,0.035144,0.803022,0.265825,0.285222,0.33612,0.285714,2
0.064004,0.860938,0.665934,0.350987,0.704992,0.380522,0.983474,0.666667,0.977665,0.022955,0.851783,0.255227,0.198168,0.466555,0.25,2
0.041575,0.804688,0.663416,0.382627,0.758381,0.324297,0.977992,0.666667,0.945871,0.020294,0.947066,0.217062,0.242265,0.396321,0.321429,2
0.046499,0.847656,0.688595,0.297272,0.767181,0.422691,0.968064,0.666667,0.964114,0.033547,0.827572,0.285259,0.287863,0.406355,0.357143,2
0.031729,0.766406,0.704332,0.404702,0.755447,0.264056,0.983409,0.666667,0.959348,0.011919,0.96348,0.175994,0.244344,0.235786,0.214286,2
0.037199,0.753906,0.652085,0.347308,0.699125,0.300201,0.476696,0.666667,0.96817,0.014383,0.970324,0.200418,0.244949,0.30602,0.285714,2
0.030635,0.705469,0.647049,0.291386,0.734913,0.319277,0.986253,0.666667,0.949391,0.013963,0.949524,0.213555,0.301055,0.26087,0.285714,2
0.027352,0.771094,0.639495,0.431928,0.679178,0.240964,0.3888,0.666667,0.966162,0.016329,0.965781,0.16099,0.250326,0.280936,0.25,2
0.036652,0.882031,0.597949,0.407645,0.683285,0.358434,0.982285,0.666667,0.957532,0.02396,0.956257,0.240362,0.29457,0.29097,0.321429,2
0.055799,0.933594,0.640125,0.298744,0.730806,0.490964,0.526071,0.666667,0.966078,0.039207,0.683068,0.331875,0.286864,0.406355,0.321429,2
0.047593,0.884375,0.64579,0.359081,0.720833,0.398594,0.465817,0.666667,0.964628,0.026946,0.968833,0.267904,0.26592,0.441472,0.357143,2
0.04267,0.847656,0.701814,0.423098,0.774221,0.317269,0.481619,0.666667,0.9552,0.014266,0.955616,0.212163,0.232224,0.32107,0.321429,2
0.061816,0.871875,0.683559,0.222954,0.754861,0.502008,0.96806,0.666667,0.972177,0.056216,0.596948,0.341947,0.27089,0.481605,0.392857,2
0.083151,0.91875,0.59669,0.197936,0.683285,0.562249,0.946114,0.666667,0.972361,0.069308,0.671851,0.38359,0.234161,0.546823,0.285714,2
0.046499,0.742188,0.489678,0.210445,0.490851,0.401606,0.992725,0.666667,0.998605,0.03576,0.498077,0.270569,0.273571,0.255853,0.285714,2
0.024617,0.767969,0.517376,0.29065,0.519599,0.353414,0.999881,0.666667,0.997112,0.041393,0.783133,0.239381,0.391945,0.230769,0.25,2
0.056893,0.824219,0.541296,0.316913,0.54953,0.376506,0.4725,0.666667,0.994062,0.053285,0.652,0.258463,0.221672,0.285953,0.214286,2
0.055252,0.813281,0.474571,0.368647,0.518425,0.326305,0.969976,0.666667,0.978121,0.044252,0.796527,0.222949,0.197154,0.301003,0.25,2
0.060722,0.849219,0.427989,0.300951,0.476184,0.412651,0.989934,0.666667,0.982084,0.038516,0.699367,0.280289,0.226855,0.301003,0.321429,2
0.041575,0.775781,0.473941,0.389986,0.519599,0.279116,0.984247,0.666667,0.973565,0.021767,0.773498,0.187058,0.210365,0.230769,0.25,2
0.056346,0.789844,0.436172,0.289178,0.546586,0.388554,0.478088,0.666667,0.954782,0.011827,0.957239,0.259872,0.224649,0.205686,0.25,2
0.056893,0.678906,0.079885,0.239878,0.243269,0.354418,0.970363,0.666667,0.936728,0.025826,0.937381,0.237833,0.204651,0.32107,0.285714,2
0.050875,0.882813,0.555774,0.323761,0.646826,0.428715,0.370396,0.666667,0.963322,0.053594,0.568068,0.292656,0.274203,0.27592,0.285714,2
0.054158,0.844531,0.588507,0.242085,0.608775,0.456827,0.972193,0.666667,0.989747,0.072683,0.61423,0.316291,0.280697,0.311037,0.321429,2
0.06674,0.864844,0.565216,0.209709,0.615229,0.504016,0.584325,0.666667,0.981672,0.073198,0.607013,0.347224,0.257512,0.301003,0.178571,2
0.06674,0.836719,0.617463,0.181748,0.632243,0.502008,0.97277,0.666667,0.991762,0.068249,0.615124,0.345405,0.256199,0.30602,0.285714,2
0.052516,0.826563,0.604244,0.402495,0.600562,0.305221,0.527424,0.666667,0.996677,0.055198,0.573079,0.212348,0.196328,0.280936,0.285714,2
0.065646,0.835156,0.579694,0.236199,0.658644,0.462851,0.946295,0.666667,0.969616,0.086253,0.593173,0.325348,0.245194,0.285953,0.285714,2
0.040481,0.744531,0.540037,0.304631,0.57096,0.325301,0.463046,0.666667,0.982157,0.046034,0.655019,0.222368,0.253171,0.27592,0.321429,2
0.056893,0.904688,0.54822,0.342893,0.612882,0.424699,0.979029,0.666667,0.973254,0.052715,0.686187,0.29021,0.247865,0.280936,0.285714,2
0.050328,0.875,0.504157,0.375269,0.572987,0.374498,0.986362,0.666667,0.969252,0.032413,0.551027,0.252821,0.240292,0.230769,0.25,2
0.05744,0.850781,0.628794,0.244293,0.632243,0.459839,0.978028,0.666667,0.994698,0.064349,0.614915,0.315971,0.266966,0.280936,0.321429,2
0.051422,0.792969,0.590396,0.305294,0.62613,0.363454,0.456956,0.666667,0.980395,0.046516,0.64232,0.248452,0.232158,0.255853,0.285714,2
0.05744,0.839844,0.541925,0.281778,0.617886,0.426707,0.522724,0.666667,0.969256,0.063503,0.683928,0.294489,0.249383,0.285953,0.321429,2
0.056893,0.85625,0.54822,0.349515,0.555973,0.374498,0.983361,0.666667,0.994035,0.05622,0.558002,0.25713,0.220572,0.311037,0.285714,2
0.071116,0.9875,0.501639,0.450323,0.500825,0.393574,0.630875,0.666667,0.999053,0.061643,0.544286,0.270455,0.191322,0.316054,0.214286,2
0.051422,0.828125,0.587248,0.300951,0.628136,0.396586,0.978739,0.666667,0.979945,0.059606,0.690419,0.27279,0.253984,0.29097,0.285714,2
0.050328,0.4625,0.551997,0.941116,0.513145,0.416667,0.552191,1,0.487402,0.003435,0.479968,0.278564,0.263787,0.255853,0.25,2
0.102845,0.185938,0.358746,0.73987,0.346306,0.466867,0.649815,1,0.493229,0.032416,0.479928,0.314611,0.159418,0.331104,0.25,2
0.071116,0.167969,0.575288,0.65341,0.54952,0.407631,0.638917,1,0.49286,0.009862,0.484045,0.272242,0.192543,0.29097,0.25,2
